日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/01/04,"1,649,021","107,982,159",65.10,66.40,64.40,66.00,+1.00,"1,074"
110/01/05,"988,058","64,573,057",66.00,66.00,65.10,65.30,-0.70,750
110/01/06,"1,358,289","87,883,033",65.30,65.50,64.20,64.40,-0.90,947
110/01/07,"1,158,273","74,585,095",64.90,64.90,64.20,64.70,+0.30,831
110/01/08,"858,874","55,324,278",64.70,64.80,64.20,64.30,-0.40,617
110/01/11,"1,089,212","70,064,138",64.30,64.80,64.10,64.30, 0.00,767
110/01/12,"1,056,334","67,877,700",64.30,64.70,64.00,64.00,-0.30,699
110/01/13,"1,201,220","76,970,978",64.00,64.40,63.80,63.90,-0.10,743
110/01/14,"1,338,750","85,425,915",63.80,64.10,63.50,64.10,+0.20,950
110/01/15,"1,739,459","110,723,447",64.10,64.50,63.30,63.70,-0.40,"1,193"
110/01/18,"1,474,946","92,819,294",63.70,63.70,62.50,63.30,-0.40,983
110/01/19,"664,821","42,121,342",63.50,63.60,63.10,63.60,+0.30,520
110/01/20,"1,143,046","71,803,328",63.50,63.50,62.60,62.80,-0.80,915
110/01/21,"1,327,208","82,990,621",62.90,62.90,62.20,62.40,-0.40,991
110/01/22,"1,314,649","81,626,720",62.40,62.40,62.00,62.00,-0.40,942
110/01/25,"1,455,225","90,377,573",62.00,63.20,61.60,62.80,+0.80,"1,010"
110/01/26,"943,021","58,607,710",62.50,62.70,61.90,62.20,-0.60,718
110/01/27,"1,015,315","63,085,123",62.20,62.50,62.00,62.10,-0.10,528
110/01/28,"1,155,163","71,318,294",61.80,61.90,61.50,61.70,-0.40,860
110/01/29,"986,738","60,865,604",61.70,62.00,61.50,61.60,-0.10,722
110/02/01,"558,366","34,392,672",61.80,61.90,61.40,61.60, 0.00,431
110/02/02,"833,842","51,414,816",61.50,61.90,61.50,61.90,+0.30,573
110/02/03,"1,095,432","67,564,094",61.80,61.80,61.60,61.60,-0.30,586
110/02/04,"680,486","41,891,609",61.60,61.70,61.40,61.60, 0.00,540
110/02/05,"717,936","44,628,776",61.90,62.50,61.60,62.40,+0.80,577
110/02/17,"1,841,276","116,644,909",63.20,63.80,62.30,63.50,+1.10,"1,344"
110/02/18,"1,610,808","103,597,416",63.70,64.80,63.70,64.50,+1.00,"1,119"
110/02/19,"1,436,968","93,146,663",64.50,65.20,64.40,64.90,+0.40,"1,022"
110/02/22,"2,241,167","147,029,634",65.20,66.40,65.10,65.50,+0.60,"1,370"
110/02/23,"955,755","62,400,376",65.50,65.50,65.00,65.50, 0.00,662
110/02/24,"984,611","64,437,174",65.50,65.80,65.10,65.40,-0.10,672
110/02/25,"1,020,964","66,911,717",65.70,65.80,65.40,65.70,+0.30,711
110/02/26,"1,021,316","66,585,092",65.70,65.70,65.00,65.40,-0.30,731
110/03/02,"2,685,164","179,092,348",65.40,67.40,65.40,66.40,+1.00,"1,716"
110/03/03,"1,318,490","87,722,518",66.70,67.00,66.00,66.60,+0.20,923
110/03/04,"1,521,965","99,903,267",66.40,66.50,65.00,65.60,-1.00,900
110/03/05,"837,676","54,606,324",65.00,65.50,64.90,65.20,-0.40,558
110/03/08,"1,547,261","100,946,110",65.20,65.80,64.90,65.00,-0.20,"1,011"
110/03/09,"1,058,594","68,512,670",65.00,65.20,64.40,64.80,-0.20,765
110/03/10,"1,212,571","77,962,562",64.80,64.80,64.00,64.50,-0.30,971
110/03/11,"1,358,577","88,562,272",64.60,65.60,64.60,65.20,+0.70,849
110/03/12,"1,034,147","67,315,587",65.20,65.40,64.70,65.30,+0.10,666
110/03/15,"858,746","55,753,037",65.20,65.30,64.70,64.80,-0.50,633
110/03/16,"565,906","36,830,267",64.80,65.30,64.80,65.30,+0.50,442
110/03/17,"1,722,182","111,446,229",65.30,65.30,64.30,64.40,-0.90,"1,087"
110/03/18,"1,422,709","92,065,502",64.60,65.10,64.40,64.90,+0.50,941
110/03/19,"4,611,013","299,744,421",64.50,65.70,63.90,65.70,+0.80,"1,639"
110/03/22,"3,593,912","231,431,934",65.50,65.50,64.00,64.00,-1.70,"1,928"
110/03/23,"3,539,679","226,471,134",64.30,64.60,63.70,63.70,-0.30,"1,808"
110/03/24,"3,318,262","211,135,580",63.90,64.10,63.30,63.60,-0.10,"1,667"
110/03/25,"3,027,392","192,578,091",63.70,63.90,63.30,63.80,+0.20,"1,080"
110/03/26,"971,984","62,690,932",64.10,64.70,64.10,64.60,+0.80,698
110/03/29,"1,197,801","77,915,721",64.70,65.40,64.70,65.20,+0.60,789
110/03/30,"892,666","58,133,320",65.40,65.50,64.90,65.30,+0.10,569
110/03/31,"1,129,382","73,573,359",65.30,65.30,65.00,65.30, 0.00,610
110/04/01,"1,225,118","80,110,081",65.40,65.50,65.20,65.40,+0.10,748
110/04/06,"3,368,509","224,128,214",65.70,67.50,65.70,66.40,+1.00,"1,997"
110/04/07,"1,609,243","106,665,214",66.50,66.70,65.90,66.40, 0.00,870
110/04/08,"8,558,859","589,473,862",66.80,70.90,66.50,69.90,+3.50,"4,812"
110/04/09,"4,529,593","317,202,034",69.90,70.70,69.30,70.20,+0.30,"2,687"
110/04/12,"4,970,422","355,739,112",71.00,73.00,70.70,71.40,+1.20,"2,857"
110/04/13,"4,229,437","303,072,126",72.00,72.40,70.60,71.40, 0.00,"2,164"
110/04/14,"5,116,794","369,668,083",72.10,74.60,70.00,71.00,-0.40,"2,895"
110/04/15,"1,473,838","104,686,928",71.40,71.60,70.70,71.00, 0.00,993
110/04/16,"1,276,665","90,899,809",71.00,71.80,70.60,71.10,+0.10,936
110/04/19,"8,146,356","606,804,556",72.00,76.30,72.00,75.60,+4.50,"4,547"
110/04/20,"4,207,708","322,414,257",76.90,78.00,75.90,76.60,+1.00,"2,398"
110/04/21,"8,834,326","697,749,071",76.90,80.50,76.10,80.40,+3.80,"5,770"
110/04/22,"12,479,427","1,015,521,098",81.80,84.00,76.90,78.80,-1.60,"7,180"
110/04/23,"14,956,303","1,229,933,674",78.60,84.60,77.10,84.30,+5.50,"8,933"
110/04/26,"19,999,671","1,757,501,307",85.00,91.90,84.60,86.10,+1.80,"12,265"
110/04/27,"9,393,811","774,568,778",85.90,85.90,80.20,80.60,-5.50,"6,722"
110/04/28,"6,386,240","508,840,741",80.60,82.20,78.40,78.80,-1.80,"4,392"
110/04/29,"6,935,600","550,643,024",79.00,81.60,76.80,80.50,+1.70,"4,045"
110/05/03,"5,098,406","405,493,002",80.50,82.40,77.40,79.20,-1.30,"3,716"
110/05/04,"6,896,342","521,871,699",79.50,79.90,73.10,75.50,-3.70,"3,948"
110/05/05,"3,174,291","239,521,068",76.00,77.00,74.00,74.10,-1.40,"1,911"
110/05/06,"3,033,819","222,267,449",74.40,74.90,72.70,72.90,-1.20,"1,909"
110/05/07,"3,091,657","235,272,944",74.20,77.60,73.70,76.30,+3.40,"2,094"
110/05/10,"1,892,413","144,418,864",77.20,78.00,76.00,77.00,+0.70,"1,181"
110/05/11,"4,870,427","355,365,787",75.00,75.20,70.70,71.50,-5.50,"2,792"
110/05/12,"5,246,893","362,694,585",71.00,72.10,66.00,69.10,-2.40,"3,084"
110/05/13,"2,896,406","198,805,818",68.20,70.20,66.60,68.50,-0.60,"2,034"
110/05/14,"2,315,269","160,871,171",70.00,70.40,68.60,69.40,+0.90,"1,422"
110/05/17,"3,350,390","221,861,794",65.50,68.90,65.00,66.50,-2.90,"1,908"
110/05/18,"2,988,348","205,554,692",66.50,70.40,66.00,69.30,+2.80,"1,905"
110/05/19,"1,424,279","97,949,804",68.10,70.00,67.60,69.40,+0.10,945
110/05/20,"998,774","68,717,848",69.40,69.80,68.10,68.60,-0.80,673
110/05/21,"660,872","45,830,258",69.70,69.80,68.70,69.50,+0.90,485
110/05/24,"873,273","60,975,705",68.70,70.90,68.50,69.80,+0.30,596
110/05/25,"3,030,203","219,865,156",70.40,74.40,70.40,72.20,+2.40,"1,882"
110/05/26,"1,102,737","78,599,898",72.10,72.70,70.80,71.10,-1.10,720
110/05/27,"905,009","63,709,805",70.70,70.90,70.00,70.20,-0.90,599
110/05/28,"959,534","68,436,670",71.00,71.90,70.70,71.20,+1.00,674
