日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/01/03,"611,875","44,623,154",73.10,73.80,72.40,72.40,-0.70,766
111/01/04,"492,606","35,590,968",72.60,72.70,72.10,72.40, 0.00,"2,045"
111/01/05,"1,367,518","97,632,058",71.90,72.30,71.00,71.20,-1.20,"1,058"
111/01/06,"518,263","36,981,393",71.00,71.70,70.80,71.60,+0.40,409
111/01/07,"613,278","43,611,129",71.70,71.70,70.80,70.90,-0.70,636
111/01/10,"461,384","32,733,487",70.60,71.30,70.30,70.90, 0.00,336
111/01/11,"637,912","45,201,548",71.30,71.30,70.60,70.60,-0.30,548
111/01/12,"409,066","28,860,528",70.60,71.10,70.30,70.80,+0.20,349
111/01/13,"394,152","27,957,197",70.90,71.20,70.50,71.00,+0.20,316
111/01/14,"516,416","36,488,052",71.00,71.00,70.40,70.90,-0.10,419
111/01/17,"264,718","18,795,301",70.80,71.30,70.60,71.30,+0.40,207
111/01/18,"350,106","24,914,800",71.00,71.60,70.90,71.00,-0.30,299
111/01/19,"270,544","19,189,492",71.40,71.40,70.70,71.00, 0.00,238
111/01/20,"289,158","20,584,527",71.00,71.40,70.80,71.00, 0.00,218
111/01/21,"502,389","35,446,451",71.00,71.00,70.30,70.30,-0.70,446
111/01/24,"592,239","41,369,453",70.10,70.40,69.50,70.40,+0.10,434
111/01/25,"696,840","48,502,293",69.50,69.90,69.50,69.60,-0.80,519
111/01/26,"365,517","25,507,211",69.60,70.10,69.60,69.90,+0.30,296
